inscription_id,mutant_name,inscription_number,sat_number,Alpha,Black Uncommon,Block 286,Block 666,Block 78,Block 9,Block 9 450x,Common,First Transaction,Hitman,JPEG,Nakamoto,Omega,Paliblock Palindrome,Palindrome,Pizza,Silk Road,Uncommon,Vintage
2aeee06f1e2c8f4846bb0cab5145bf81b79cbda4be1771441620331d11382761i0,ORDIMUTANT #1186,0,281101330515444,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
2aeee06f1e2c8f4846bb0cab5145bf81b79cbda4be1771441620331d11382761i1,ORDIMUTANT #598,1,281101330515774,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
2aeee06f1e2c8f4846bb0cab5145bf81b79cbda4be1771441620331d11382761i2,ORDIMUTANT #1879,2,281101330516104,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
2aeee06f1e2c8f4846bb0cab5145bf81b79cbda4be1771441620331d11382761i3,ORDIMUTANT #3916,3,281101330516434,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
2aeee06f1e2c8f4846bb0cab5145bf81b79cbda4be1771441620331d11382761i4,ORDIMUTANT #1555,4,281101330516764,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
2aeee06f1e2c8f4846bb0cab5145bf81b79cbda4be1771441620331d11382761i5,ORDIMUTANT #1082,5,281101330517094,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
2aeee06f1e2c8f4846bb0cab5145bf81b79cbda4be1771441620331d11382761i6,ORDIMUTANT #762,6,281101330517424,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
2aeee06f1e2c8f4846bb0cab5145bf81b79cbda4be1771441620331d11382761i7,ORDIMUTANT #2000,7,281101330517754,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
2bb59cd1571216f8d4f792151dc3ec08e0e3621c00cbeba864e60d097c20ae15i0,ORDIMUTANT #655,0,281101330495314,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
2bb59cd1571216f8d4f792151dc3ec08e0e3621c00cbeba864e60d097c20ae15i1,ORDIMUTANT #220,1,281101330495644,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
2bb59cd1571216f8d4f792151dc3ec08e0e3621c00cbeba864e60d097c20ae15i2,ORDIMUTANT #1243,2,281101330495974,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
2bb59cd1571216f8d4f792151dc3ec08e0e3621c00cbeba864e60d097c20ae15i3,ORDIMUTANT #3766,3,281101330496304,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
2bb59cd1571216f8d4f792151dc3ec08e0e3621c00cbeba864e60d097c20ae15i4,ORDIMUTANT #222,4,281101330496634,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
2bb59cd1571216f8d4f792151dc3ec08e0e3621c00cbeba864e60d097c20ae15i5,ORDIMUTANT #65,5,281101330496964,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
2bf3fc9018799eceb3d6be6be3c3a68c6352f7c70cf75dff62e832745a95b307i0,ORDIMUTANT #1728,0,385522892730183,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
2bf3fc9018799eceb3d6be6be3c3a68c6352f7c70cf75dff62e832745a95b307i1,ORDIMUTANT #1701,1,385522892730513,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
2bf3fc9018799eceb3d6be6be3c3a68c6352f7c70cf75dff62e832745a95b307i2,ORDIMUTANT #1077,2,385522892730843,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
2bf3fc9018799eceb3d6be6be3c3a68c6352f7c70cf75dff62e832745a95b307i3,ORDIMUTANT #2323,3,385522892731173,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
2c0920f5267a2248a3cb3b6afd813c7e518923d1a3835843490baeba37679170i0,ORDIMUTANT #2369,0,385522892726553,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
2cbf11d07efeeabc0e5da5f5df0bf38ddc2c21821a4b5d9894537e63c729e2c8i0,ORDIMUTANT #1553,0,281101330309504,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
2cc9bf2879a6bec25dfe975160d0fed05fbc240611d80eda6cbdd37e8e68411di0,ORDIMUTANT #403,0,3071337235376,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes
2cc9bf2879a6bec25dfe975160d0fed05fbc240611d80eda6cbdd37e8e68411di1,ORDIMUTANT #465,1,3071337235706,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes
2ccab87d0b3cf16eb49cbf11826bb786a33e2ccf0fd5b8f636b3069bbf92c192i0,ORDIMUTANT #668,0,823859379842208,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
2ccab87d0b3cf16eb49cbf11826bb786a33e2ccf0fd5b8f636b3069bbf92c192i1,ORDIMUTANT #188,1,823859379842538,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
2d1e9707df3819240a0c7b14bff55de75b5b616aaf052970b5decd1ad24bf591i0,ORDIMUTANT #1239,0,385522892715993,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
2d8c28301e8b99c54520f13e8663e157a29f4d6ba08a81bbd1c29d59d3058cf2i0,ORDIMUTANT #3859,0,281101330523364,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
2d8c28301e8b99c54520f13e8663e157a29f4d6ba08a81bbd1c29d59d3058cf2i1,ORDIMUTANT #2671,1,281101330523694,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
2d8c28301e8b99c54520f13e8663e157a29f4d6ba08a81bbd1c29d59d3058cf2i2,ORDIMUTANT #3157,2,281101330524024,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
2dc5e4615507b7dd3762eb2cc885766e5dd5e4c1d559dd6e0de54d086aa11b37i0,ORDIMUTANT #1129,0,281101330524354,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
2dc5e4615507b7dd3762eb2cc885766e5dd5e4c1d559dd6e0de54d086aa11b37i1,ORDIMUTANT #3454,1,281101330524684,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
2dc5e4615507b7dd3762eb2cc885766e5dd5e4c1d559dd6e0de54d086aa11b37i2,ORDIMUTANT #2327,2,281101330525014,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
2dc5e4615507b7dd3762eb2cc885766e5dd5e4c1d559dd6e0de54d086aa11b37i3,ORDIMUTANT #3161,3,281101330525344,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
2dc5e4615507b7dd3762eb2cc885766e5dd5e4c1d559dd6e0de54d086aa11b37i4,ORDIMUTANT #3608,4,281101330525674,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
2dc5e4615507b7dd3762eb2cc885766e5dd5e4c1d559dd6e0de54d086aa11b37i6,ORDIMUTANT #2333,6,281101330526334,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
2dc5e4615507b7dd3762eb2cc885766e5dd5e4c1d559dd6e0de54d086aa11b37i8,ORDIMUTANT #3180,8,281101330526994,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
2f2da7883dad0f322bff35d7484c919722610be31eab7637a5c3790bde505748i0,ORDIMUTANT #2272,0,281101330326664,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
